*CREATOR
msr_cutter.exe;[V6.02.06]
msr2csv.exe;[V6.02.06]

*STARTTIME
2024-07-05;23:18:44;

*MODUL
NAME;MSR327894;MSR327894;MSR327894;MSR327894;MSR327894
*NAME
NAME; ; ; ; ; 

ID;[C26113 V5.132];[C26113 V5.132];[C26113 V5.132];[C26113 V5.132];[C26113 V5.132]

*CHANNEL
TIME;RH;T_RH;BAT;RH2;T_RH2

*UNIT
;%;°C;V;%;°C

*LIMITS
ALARM;;;;;
RECRD;;;;;
LIMIT1;;;;;
LIMIT2;;;;;

*DATA
2024-07-05 23:18:44.225;55.2;25.0900001525879;3.91;54.0999984741211;26.0400009155273
2024-07-05 23:18:49.225;55.2;25.1000003814697;;54.1300010681152;26.0400009155273
2024-07-05 23:18:54.225;55.8;25.1000003814697;;54.0800018310547;26.0300006866455
2024-07-05 23:18:59.225;55.8;25.1100006103516;;54.0800018310547;26.0200004577637
2024-07-05 23:19:04.225;56.0;25.1100006103516;;54.2299995422363;26.0100002288818
2024-07-05 23:19:09.225;55.8;25.1000003814697;;54.2799987792969;26.0100002288818
2024-07-05 23:19:14.225;56.0;25.1000003814697;;54.2799987792969;26
2024-07-05 23:19:19.225;56.3;25.0900001525879;;54.310001373291;25.9799995422363
2024-07-05 23:19:24.225;55.8;25.0699996948242;;54.6599998474121;25.9799995422363
2024-07-05 23:19:29.225;55.2;25.0400009155273;;54.810001373291;25.9699993133545
2024-07-05 23:19:34.225;55.2;25;;54.7400016784668;25.9699993133545
2024-07-05 23:19:39.225;56.2;24.9899997711182;;55.060001373291;25.9699993133545
2024-07-05 23:19:44.225;56.0;24.9699993133545;;55.7599983215332;25.9699993133545
2024-07-05 23:19:49.225;56.3;24.9400005340576;;56.1699981689453;25.9699993133545
2024-07-05 23:19:54.225;56.0;24.9300003051758;;56.4000015258789;25.9699993133545
2024-07-05 23:19:59.225;56.4;24.9200000762939;;56.4000015258789;25.9699993133545
2024-07-05 23:20:04.225;56.3;24.8999996185303;;55.7900009155273;25.9599990844727
2024-07-05 23:20:09.225;56.8;24.8700008392334;;55.3800010681152;25.9400005340576
2024-07-05 23:20:14.225;55.8;24.8400001525879;;55.060001373291;25.9099998474121
2024-07-05 23:20:19.225;56.1;24.8099994659424;;55.3199996948242;25.8999996185303
2024-07-05 23:20:24.225;55.5;24.7600002288818;;55.1500015258789;25.8799991607666
2024-07-05 23:20:29.225;55.6;24.7099990844727;;55.5299987792969;25.8600006103516
2024-07-05 23:20:34.225;55.8;24.6700000762939;;55.4700012207031;25.8500003814697
2024-07-05 23:20:39.225;55.7;24.6399993896484;;55.8800010681152;25.8400001525879
2024-07-05 23:20:44.225;55.8;24.6100006103516;;56.2200012207031;25.8299999237061
2024-07-05 23:20:49.225;55.8;24.5599994659424;;56.4000015258789;25.8299999237061
2024-07-05 23:20:54.225;56.0;24.5300006866455;;56.9799995422363;25.8199996948242
2024-07-05 23:20:59.225;56.5;24.5;;56.5400009155273;25.8099994659424
2024-07-05 23:21:04.225;57.2;24.4799995422363;;56.25;25.7999992370605
2024-07-05 23:21:09.225;57.6;24.4500007629395;;56;25.7999992370605
2024-07-05 23:21:14.225;57.1;24.4200000762939;;56.0299987792969;25.7800006866455
2024-07-05 23:21:19.225;56.6;24.3899993896484;;56.1100006103516;25.7800006866455
